cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.724058589948834	0.641392498657994	0.689316239316239	0.671553449196253	0.701030927835051	0.379439664681226	0.768	0.923076923076923	0.444444444444444	0.657534246575343	0.833333333333333	0.657534246575342	0.923076923076923	0.494845360824742	0.683760683760684	glmnet	1
0.687203007013983	0.633048866111606	0.765384615384615	0.754834327223376	0.680412371134021	0.334587298074795	0.537313432835821	0.4	0.923076923076923	0.818181818181818	0.64	0.818181818181818	0.4	0.185567010309278	0.661538461538462	glmnet	2
0.725503368350929	0.652553806964784	0.682051282051282	0.652273839140684	0.649484536082474	0.271321254971277	0.73015873015873	0.884615384615385	0.377777777777778	0.621621621621622	0.739130434782609	0.621621621621622	0.884615384615385	0.474226804123711	0.631196581196581	glmnet	3
0.702431320693516	0.657727991936433	0.721367521367521	0.68636139532015	0.670103092783505	0.309915518008003	0.753846153846154	0.942307692307692	0.355555555555556	0.628205128205128	0.842105263157895	0.628205128205128	0.942307692307692	0.505154639175258	0.648931623931624	glmnet	4
0.713468660297929	0.627606412145021	0.726495726495726	0.688536798615053	0.701030927835051	0.388876819465566	0.747826086956522	0.826923076923077	0.555555555555556	0.682539682539683	0.735294117647059	0.682539682539683	0.826923076923077	0.443298969072165	0.691239316239316	glmnet	5
0.727154443642249	0.657263714860695	0.647863247863248	0.630259523421858	0.639175257731959	0.260187404663325	0.700854700854701	0.788461538461538	0.466666666666667	0.630769230769231	0.65625	0.630769230769231	0.788461538461538	0.422680412371134	0.627564102564103	glmnet	6
0.681858153449617	0.616908030904068	0.784615384615385	0.765366531519298	0.721649484536082	0.42223692918597	0.784	0.942307692307692	0.466666666666667	0.671232876712329	0.875	0.671232876712329	0.942307692307692	0.505154639175258	0.704487179487179	glmnet	7
0.711272382138236	0.591656994017932	0.711111111111111	0.697076808896569	0.711340206185567	0.414402759810263	0.745454545454545	0.788461538461538	0.622222222222222	0.706896551724138	0.717948717948718	0.706896551724138	0.788461538461538	0.422680412371134	0.70534188034188	glmnet	8
0.717837928520855	0.647893370784059	0.695299145299145	0.661148312908603	0.618556701030928	0.203329633740289	0.713178294573643	0.884615384615385	0.311111111111111	0.597402597402597	0.7	0.597402597402597	0.884615384615385	0.474226804123711	0.597863247863248	glmnet	9
0.713152658756317	0.612127743006664	0.732905982905983	0.713489551852787	0.701030927835051	0.379439664681226	0.768	0.923076923076923	0.444444444444444	0.657534246575343	0.833333333333333	0.657534246575342	0.923076923076923	0.494845360824742	0.683760683760684	glmnet	10
0.709431487236365	0.632857960628026	0.741880341880342	0.71886669135515	0.65979381443299	0.300327868852459	0.722689075630252	0.826923076923077	0.466666666666667	0.641791044776119	0.7	0.641791044776119	0.826923076923077	0.443298969072165	0.646794871794872	glmnet	11
0.686413447419545	0.644687353717867	0.75982905982906	0.728840015450752	0.701030927835051	0.377517149811905	0.771653543307087	0.942307692307692	0.422222222222222	0.653333333333333	0.863636363636364	0.653333333333333	0.942307692307692	0.505154639175258	0.682264957264957	glmnet	12
0.723438406176211	0.66561552236657	0.656410256410256	0.641536874550536	0.65979381443299	0.287241148964596	0.748091603053435	0.942307692307692	0.333333333333333	0.620253164556962	0.833333333333333	0.620253164556962	0.942307692307692	0.505154639175258	0.637820512820513	glmnet	13
0.703486981755274	0.634491851507543	0.723504273504273	0.704201070725051	0.701030927835051	0.377517149811905	0.567164179104478	0.422222222222222	0.942307692307692	0.863636363636364	0.653333333333333	0.863636363636364	0.422222222222222	0.195876288659794	0.682264957264957	glmnet	14
0.709638037863648	0.613024874946111	0.790598290598291	0.758523681737319	0.731958762886598	0.447898423817863	0.648648648648649	0.533333333333333	0.903846153846154	0.827586206896552	0.691176470588235	0.827586206896552	0.533333333333333	0.247422680412371	0.718589743589744	glmnet	15
0.706296811619982	0.645744488142157	0.708547008547008	0.684381240411023	0.649484536082474	0.273568281938326	0.725806451612903	0.865384615384615	0.4	0.625	0.72	0.625	0.865384615384615	0.463917525773196	0.632692307692308	glmnet	16
0.714656511912609	0.633680378659067	0.705982905982906	0.674320311913879	0.670103092783505	0.324630113141862	0.724137931034483	0.807692307692308	0.511111111111111	0.65625	0.696969696969697	0.65625	0.807692307692308	0.43298969072165	0.659401709401709	glmnet	17
0.707126571693645	0.644114180590974	0.758974358974359	0.721190250461571	0.670103092783505	0.318401405357927	0.737704918032787	0.865384615384615	0.444444444444444	0.642857142857143	0.740740740740741	0.642857142857143	0.865384615384615	0.463917525773196	0.65491452991453	glmnet	18
0.724673019709605	0.618603800467465	0.686752136752137	0.684899347719781	0.639175257731959	0.262437540734304	0.695652173913043	0.769230769230769	0.488888888888889	0.634920634920635	0.647058823529412	0.634920634920635	0.769230769230769	0.412371134020619	0.629059829059829	glmnet	19
0.694877335523677	0.628065788688732	0.761538461538461	0.727855495550168	0.742268041237113	0.471562431902375	0.786324786324786	0.884615384615385	0.577777777777778	0.707692307692308	0.8125	0.707692307692308	0.884615384615385	0.474226804123711	0.731196581196581	glmnet	20
0.708479636430856	0.660632218484158	0.73034188034188	0.710870702480111	0.701030927835051	0.371677462586553	0.781954887218045	1	0.355555555555556	0.641975308641975	1	0.641975308641975	1	0.536082474226804	0.677777777777778	glmnet	21
