alpha	lambda	AUC
0	3	0.6878708787184397
0	4	0.6872226076250466
0	5	0.6866765328045816
0	0.1	0.6940873164104872
0	1	0.6914016350845619
0	2	0.6899567973897243
0	3	0.6890358782127075
0	4	0.6884455239211337
0	5	0.6881027360112726
0	0.1	0.680595551126039
0	1	0.6887988920976726
0	2	0.6881427089110016
0	3	0.6876939326085667
0	4	0.6872614434992483
0	5	0.6869080631153802
0	0.1	0.697144209540551
0	1	0.705665488659391
0	2	0.7054051577710114
0	3	0.7044773484285679
0	4	0.7039659241122656
0	5	0.7035537148646904
0	0.1	0.7358798641847423
0	1	0.7326517065846334
0	2	0.7296818098586392
0	3	0.7280228983338739
0	4	0.7269167399106423
0	5	0.7262356345892931
0	0.1	0.6815942135515306
0	1	0.7001696374074423
0	2	0.7008756849183678
0	3	0.7005800225312421
0	4	0.7000559069522484
0	5	0.6997360278396864
0	0.1	0.6796442278515449
0	1	0.6893481521591278
0	2	0.6884156264278215
0	3	0.6873285271334052
0	4	0.6869740681447999
0	5	0.6864596791913865
0	0.1	0.7006099871648652
0	1	0.7096173228978107
0	2	0.7089711392577246
0	3	0.7083099580416654
0	4	0.7078211094369631
0	5	0.7076030516579297
0	0.1	0.7364002844307722
0	1	0.7410008117873972
0	2	0.7388727752142387
0	3	0.7374083621949475
0	4	0.7362730875474778
0	5	0.7357025143610509
0	0.1	0.7032886056788495
0	1	0.7167655913753475
0	2	0.7167264206715426
0	3	0.7163449241924852
0	4	0.7158730716779498
0	5	0.7155521453509258
0	0.1	0.6889627031212398
0	1	0.6931063842588233
0	2	0.6910323598860184
0	3	0.6900013323427958
0	4	0.6893994011433036
0	5	0.6889533932887592
0	0.1	0.7177953066306725
0	1	0.7125865133426109
0	2	0.7099086987684549
0	3	0.708795148807344
0	4	0.7080059301461741
0	5	0.7075573509049119
0	0.1	0.7458617075263417
0	1	0.7464475677768361
0	2	0.7437987203231106
0	3	0.7417333178125861
0	4	0.7405844058344059
0	5	0.7398796836906593
0	0.1	0.7217341130328935
0	1	0.7274528936602107
0	2	0.725989838270326
0	3	0.7249137674259626
0	4	0.7242161325088154
0	5	0.7236199605528874
0	0.1	0.6939690727312678
0	1	0.7020670409085044
0	2	0.7006994477055453
0	3	0.6994812687251711
0	4	0.6985963977915197
0	5	0.6979997916034502
0	0.1	0.6918776616337592
0	1	0.7027176488335025
0	2	0.7031317694000621
0	3	0.7029672948209533
0	4	0.7029403096476268
0	5	0.702993526627673
0	0.1	0.6778425516108443
0	1	0.676445002493783
0	2	0.6737256080121934
0	3	0.671989961215571
0	4	0.6708458824678337
0	5	0.6701313560947707
