mtry	AUC
2	0.7816757759501662
4	0.7975521052411296
8	0.8073099855081562
17	0.8063676254651865
34	0.7966090899261631
2	0.7962097594109789
4	0.8095915615092445
8	0.8146745199031784
17	0.8118499993896335
34	0.8032210729893656
2	0.7851743411529997
4	0.7981523936828815
8	0.8072777381039576
17	0.806806607565754
34	0.799223697129185
2	0.7994400689888495
4	0.8110059087833478
8	0.8167738082158814
17	0.814255386048069
34	0.806213096371633
2	0.7916014703728118
4	0.8067701800232288
8	0.8162521227673667
17	0.8152043057866228
34	0.8065434990739869
2	0.781228159344013
4	0.7956552161918016
8	0.8043484721655454
17	0.8029806705660364
34	0.7934874778960145
2	0.7696572308371089
4	0.784420807567149
8	0.7917091189621678
17	0.7906148038282185
34	0.7821793557494777
2	0.7954638135522282
4	0.8122539835131298
8	0.8217462017766896
17	0.8210362880301905
34	0.8148525123555611
2	0.7857817669585963
4	0.7998876520248471
8	0.8066704138807798
17	0.8012663652328287
34	0.7903565782681636
2	0.7667678183409891
4	0.7823128380994234
8	0.7952690255586597
17	0.7998904431434919
34	0.7957543462451999
2	0.7716608019168995
4	0.7867479539644174
8	0.7956758382947408
17	0.7958954647155867
34	0.7916418038247307
2	0.762284062372477
4	0.7775242664267055
8	0.7873379106458375
17	0.789599173651003
34	0.7834436923857656
2	0.77154810516091
4	0.7862865927774464
8	0.7943442397100934
17	0.7939542124877491
34	0.7870283537021342
2	0.7963742331181356
4	0.8085692626424333
8	0.8143242824706239
17	0.8117973116845069
34	0.8048228873472776
2	0.7824772586175025
4	0.7980815711181565
8	0.8083503320393565
17	0.8081540726266336
34	0.7997950310938116
2	0.7800974101278979
4	0.7959933282585722
8	0.804287332628796
17	0.8053321226278544
34	0.8011278809297102
2	0.757134933714202
4	0.7762463521884254
8	0.7880881456369261
17	0.7910694784505761
34	0.7846006585854147
2	0.7851781236811725
4	0.7969478672923795
8	0.8027902671835598
17	0.7988706358797822
34	0.7891019974678511
2	0.7958512227384179
4	0.8135437702510874
8	0.8246515635844904
17	0.8265481975878317
34	0.8210226646507134
2	0.758964163640993
4	0.7779732254031034
8	0.7897304242395706
17	0.7916274916031014
34	0.7861101881498223
2	0.7930055726458165
4	0.8092005380816356
8	0.8168739815599572
17	0.8173442218350755
34	0.8110669253748523
2	0.7476265555625312
4	0.7635538181910133
8	0.7755141173403368
17	0.7781417824619045
34	0.7744317719287231
2	0.7747912285107407
4	0.7930228111386648
8	0.8068203878966074
17	0.8100356048557268
34	0.8080696964385988
2	0.791453506642531
4	0.8034722470728568
8	0.811814244558147
17	0.809937289641558
34	0.802325121724512
2	0.7796193296955493
4	0.795988941903576
8	0.8068596261766994
17	0.8079956672700576
34	0.8033441128410641
2	0.7694221682483877
4	0.7815365609511951
8	0.7907285761371128
17	0.7922403631854852
34	0.7854231792768378
2	0.7763273499980817
4	0.7935056982069177
