mtry	AUC
2	0.7017769838653986
4	0.7046825558136534
8	0.7044871513499562
17	0.7003013876245584
34	0.6942816518609202
2	0.7061754916937844
4	0.7084944966743747
8	0.7070162270284222
17	0.7033178064824407
34	0.6968291728139289
2	0.7149640651104066
4	0.7170829924000656
8	0.7155547716706253
17	0.7099975733573295
34	0.7031887815515865
2	0.7228215105349252
4	0.7218126933553763
8	0.7200515253929888
17	0.7140114927645416
34	0.7089018709476027
2	0.694874761521103
4	0.7002580385263312
8	0.7027086651111042
17	0.7009994576457991
34	0.6953073212585408
2	0.7017359798823214
4	0.704775540348711
8	0.7047730696724599
17	0.7004536326396082
34	0.6938139310913701
2	0.6985615855402441
4	0.6980842968403944
8	0.7006636436087655
17	0.6988565281309184
34	0.6965632522766669
2	0.7152994523268914
4	0.7166178342977123
8	0.7148399335746897
17	0.7090736433297409
34	0.7026237862426887
2	0.6933251688099249
4	0.6939480979237077
8	0.6915542733500051
17	0.6854412365327
34	0.678290144674291
2	0.7052409831434222
4	0.7051717148333002
8	0.7026857707010146
17	0.6977540367022075
34	0.6902639699804334
2	0.6827260357046943
4	0.6816914362097289
8	0.6772064904625881
17	0.6704526146355415
34	0.6639042932305127
2	0.6979967266918486
4	0.7006878180445254
8	0.7001159796556138
17	0.6964916841929037
34	0.6911897904001563
2	0.6912152919469993
4	0.6940715868307332
8	0.6942935252325496
17	0.6890946499635524
34	0.6840337114117602
2	0.7158288000544099
4	0.7166650029820761
8	0.7154778136150087
17	0.7094850935430204
34	0.7030870548248597
2	0.7006639841060572
4	0.7029924096570438
8	0.7024312692483424
17	0.6998629548538086
34	0.6947235105314373
2	0.7008071224534639
4	0.7032731568676691
8	0.7039615957420835
17	0.7018149255527304
34	0.6971118688374786
2	0.6787670989805136
4	0.6834436383247359
8	0.6834856180222034
17	0.6810514987984501
34	0.6790393372466543
2	0.7107308327491254
4	0.7155953640923153
8	0.7151361701422677
17	0.710782709102831
34	0.7049023003840077
2	0.7254726080610227
4	0.7310040205710937
8	0.7334519728788021
17	0.7342435671734452
34	0.7329513027836199
2	0.6805963790445498
4	0.6824170751762215
8	0.6829844875363168
17	0.6801552279631548
34	0.6769549292323682
2	0.7022615224109127
4	0.7061885561519708
8	0.7062942537485221
17	0.7049932920725603
34	0.6988844894546115
2	0.6657837127196883
4	0.66844016926334
8	0.6681715574459477
17	0.6642123299257445
34	0.658723516199126
2	0.7000279020309508
4	0.7026529826865193
8	0.704419844496064
