cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.704682555813653	0.619894228957456	0.740811965811966	0.729188872872195	0.670103092783505	0.326681127982646	0.719298245614035	0.788461538461538	0.533333333333333	0.661290322580645	0.685714285714286	0.661290322580645	0.788461538461538	0.422680412371134	0.660897435897436	rf	1
0.708494496674375	0.631157682237314	0.710042735042735	0.690850850682903	0.670103092783505	0.314184710561202	0.529411764705882	0.4	0.903846153846154	0.782608695652174	0.635135135135135	0.782608695652174	0.4	0.185567010309278	0.651923076923077	rf	2
0.717082992400066	0.649179889234197	0.64465811965812	0.634277254425556	0.618556701030928	0.210688365955575	0.699186991869919	0.826923076923077	0.377777777777778	0.605633802816901	0.653846153846154	0.605633802816901	0.826923076923077	0.443298969072165	0.602350427350427	rf	3
0.722821510534925	0.661170783533232	0.643803418803419	0.610526549275668	0.597938144329897	0.173114754098361	0.672268907563025	0.769230769230769	0.4	0.597014925373134	0.6	0.597014925373134	0.769230769230769	0.412371134020619	0.584615384615385	rf	4
0.702708665111104	0.629365524876368	0.692521367521368	0.677450094108031	0.608247422680412	0.195547795722392	0.677966101694915	0.769230769230769	0.422222222222222	0.606060606060606	0.612903225806452	0.606060606060606	0.769230769230769	0.412371134020619	0.595726495726496	rf	5
0.704775540348711	0.639413992444967	0.68525641025641	0.676584618041124	0.65979381443299	0.298180223635168	0.727272727272727	0.846153846153846	0.444444444444444	0.63768115942029	0.714285714285714	0.63768115942029	0.846153846153846	0.45360824742268	0.645299145299145	rf	6
0.700663643608766	0.617714006464999	0.739529914529915	0.716973865971214	0.65979381443299	0.306692657569851	0.707964601769911	0.769230769230769	0.533333333333333	0.655737704918033	0.666666666666667	0.655737704918033	0.769230769230769	0.412371134020619	0.651282051282051	rf	7
0.716617834297712	0.63494500690249	0.697222222222222	0.691581758055554	0.587628865979381	0.165950128976784	0.62962962962963	0.653846153846154	0.511111111111111	0.607142857142857	0.560975609756098	0.607142857142857	0.653846153846154	0.350515463917526	0.582478632478632	rf	8
0.693948097923708	0.623766050259423	0.750213675213675	0.729519284013244	0.690721649484536	0.362959719789842	0.75	0.865384615384615	0.488888888888889	0.661764705882353	0.758620689655172	0.661764705882353	0.865384615384615	0.463917525773196	0.677136752136752	rf	9
0.705240983143422	0.649263058769646	0.675	0.658494310934119	0.628865979381443	0.242516268980477	0.68421052631579	0.75	0.488888888888889	0.629032258064516	0.628571428571429	0.629032258064516	0.75	0.402061855670103	0.619444444444444	rf	10
0.682726035704694	0.634554802179915	0.742521367521368	0.722456663114356	0.65979381443299	0.300327868852459	0.722689075630252	0.826923076923077	0.466666666666667	0.641791044776119	0.7	0.641791044776119	0.826923076923077	0.443298969072165	0.646794871794872	rf	11
0.700687818044525	0.627735905943928	0.723717948717949	0.707962332425701	0.701030927835051	0.392571798747571	0.738738738738739	0.788461538461538	0.6	0.694915254237288	0.710526315789474	0.694915254237288	0.788461538461538	0.422680412371134	0.694230769230769	rf	12
0.69429352523255	0.617521678087699	0.732478632478632	0.701112269011843	0.690721649484536	0.372574385510996	0.727272727272727	0.769230769230769	0.6	0.689655172413793	0.692307692307692	0.689655172413793	0.769230769230769	0.412371134020619	0.684615384615385	rf	13
0.716665002982076	0.641666112850842	0.683333333333333	0.654620467918233	0.701030927835051	0.387012421006755	0.623376623376623	0.533333333333333	0.846153846153846	0.75	0.676923076923077	0.75	0.533333333333333	0.247422680412371	0.68974358974359	rf	14
0.702992409657044	0.623295780440131	0.740598290598291	0.717333910987336	0.670103092783505	0.328719723183391	0.609756097560976	0.555555555555556	0.769230769230769	0.675675675675676	0.666666666666667	0.675675675675676	0.555555555555556	0.257731958762887	0.662393162393162	rf	15
0.703961595742084	0.616197163098753	0.725213675213675	0.711698778135291	0.690721649484536	0.368763557483731	0.736842105263158	0.807692307692308	0.555555555555556	0.67741935483871	0.714285714285714	0.67741935483871	0.807692307692308	0.43298969072165	0.681623931623932	rf	16
0.683485618022203	0.615299210885289	0.744871794871795	0.714357039344526	0.639175257731959	0.262437540734304	0.695652173913043	0.769230769230769	0.488888888888889	0.634920634920635	0.647058823529412	0.634920634920635	0.769230769230769	0.412371134020619	0.629059829059829	rf	17
0.715595364092315	0.645590358518201	0.692307692307692	0.655293664176283	0.618556701030928	0.217912399215515	0.683760683760684	0.769230769230769	0.444444444444444	0.615384615384615	0.625	0.615384615384615	0.769230769230769	0.412371134020619	0.606837606837607	rf	18
0.734243567173445	0.674803093779591	0.598076923076923	0.596571067652598	0.608247422680412	0.207652622527945	0.648148148148148	0.673076923076923	0.533333333333333	0.625	0.585365853658537	0.625	0.673076923076923	0.360824742268041	0.603205128205128	rf	19
0.682984487536317	0.604402029297889	0.768803418803419	0.743148180974792	0.711340206185567	0.410845986984816	0.754385964912281	0.826923076923077	0.577777777777778	0.693548387096774	0.742857142857143	0.693548387096774	0.826923076923077	0.443298969072165	0.702350427350427	rf	20
0.706294253748522	0.63116675879502	0.696367521367521	0.675335984254314	0.639175257731959	0.262437540734304	0.695652173913043	0.769230769230769	0.488888888888889	0.634920634920635	0.647058823529412	0.634920634920635	0.769230769230769	0.412371134020619	0.629059829059829	rf	21
0.66844016926334	0.596500884471394	0.831410256410256	0.816482965702616	0.752577319587629	0.491924923614142	0.796610169491525	0.903846153846154	0.577777777777778	0.712121212121212	0.838709677419355	0.712121212121212	0.903846153846154	0.484536082474227	0.740811965811966	rf	22
