cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.648242046924974	0.671309850178931	0.625213675213675	0.603760608531975	0.639175257731959	0.244043642841238	0.732824427480916	0.923076923076923	0.311111111111111	0.607594936708861	0.777777777777778	0.607594936708861	0.923076923076923	0.494845360824742	0.617094017094017	glmnet	1
0.627282301465228	0.671456508443746	0.702564102564103	0.66909196157712	0.556701030927835	0.0535511685954165	0.699300699300699	0.961538461538462	0.0888888888888889	0.549450549450549	0.666666666666667	0.549450549450549	0.961538461538462	0.515463917525773	0.525213675213675	glmnet	10
0.58903169371462	0.65194100540052	0.743589743589744	0.71708882333063	0.649484536082474	0.262192393736018	0.746268656716418	0.961538461538462	0.288888888888889	0.609756097560976	0.866666666666667	0.609756097560976	0.961538461538462	0.515463917525773	0.625213675213675	glmnet	100
0.626454324533593	0.674500431083614	0.662393162393162	0.639227266635205	0.577319587628866	0.106091256462126	0.700729927007299	0.923076923076923	0.177777777777778	0.564705882352941	0.666666666666667	0.564705882352941	0.923076923076923	0.494845360824742	0.55042735042735	glmnet	11
0.615392533648631	0.680506267401637	0.647008547008547	0.615953308676925	0.556701030927835	0.0535511685954165	0.699300699300699	0.961538461538462	0.0888888888888889	0.549450549450549	0.666666666666667	0.549450549450549	0.961538461538462	0.515463917525773	0.525213675213675	glmnet	12
0.642665668281522	0.67765724232606	0.618803418803419	0.601239355819137	0.597938144329897	0.147012401352875	0.719424460431655	0.961538461538462	0.177777777777778	0.574712643678161	0.8	0.574712643678161	0.961538461538462	0.515463917525773	0.56965811965812	glmnet	13
0.609269162891114	0.672761775673818	0.729487179487179	0.697293467466095	0.56701030927835006	0.0711354309165526	0.125	0.0666666666666667	1	1	0.553191489361702	1	0.0666666666666667	0.0309278350515464	0.533333333333333	glmnet	14
0.640495336800215	0.672804451452312	0.698717948717949	0.66344795945932	0.587628865979381	0.120978704123244	0.230769230769231	0.133333333333333	0.980769230769231	0.857142857142857	0.566666666666667	0.857142857142857	0.133333333333333	0.0618556701030928	0.557051282051282	glmnet	15
0.636206619511498	0.676623935899047	0.604700854700855	0.576405812769586	0.577319587628866	0.108895361864217	0.696296296296296	0.903846153846154	0.2	0.566265060240964	0.642857142857143	0.566265060240964	0.903846153846154	0.484536082474227	0.551923076923077	glmnet	16
0.648424004143516	0.67484897459156	0.58547008547008506	0.574971674570287	0.618556701030928	0.205797742863465	0.708661417322835	0.865384615384615	0.333333333333333	0.6	0.681818181818182	0.6	0.865384615384615	0.463917525773196	0.599358974358974	glmnet	17
0.634330217848511	0.678942845055698	0.631623931623932	0.619019662667858	0.56701030927835006	0.0740909090909093	0.708333333333333	0.980769230769231	0.0888888888888889	0.554347826086956	0.8	0.554347826086957	0.980769230769231	0.525773195876289	0.53482905982906	glmnet	18
0.640509776326849	0.68006584427007	0.582051282051282	0.588510747454703	0.597938144329897	0.149696561024949	0.715328467153285	0.942307692307692	0.2	0.576470588235294	0.75	0.576470588235294	0.942307692307692	0.505154639175258	0.571153846153846	glmnet	19
